x (m), y (m), th (rad), stamp, 
7.63560914993286,1.2722909450531,0.391587723051833,1.69661697042326E+018,
7.64124441146851,1.27463400363922,0.489484653814791,1.69661697047304E+018,
7.64655351638794,1.27747845649719,0.587381584577749,1.69661697052305E+018,
7.65129852294922,1.28074872493744,0.685278515340707,1.69661697057304E+018,
7.65523195266724,1.28403413295746,0.783175446103665,1.6966169706181E+018,
7.65912389755249,1.28781771659851,0.881072376866623,1.69661697066311E+018,
7.66285800933838,1.29228210449219,0.978969307629582,1.69661697071298E+018,
7.66702461242676,1.29834055900574,1.07686623839254,1.69661697077926E+018,
7.66962385177612,1.302858710289,1.1747631691555,1.69661697082305E+018,
7.67195272445679,1.30825912952423,1.27266009991846,1.69661697087304E+018,
7.67373323440552,1.31370174884796,1.37055703068141,1.69661697092317E+018,
