x, y, theta, stamp, 
0.6537865996360779, 0.3909448981285095, 1.025128180017908, 1697835138409002081, 
0.6587894558906555, 0.39939767122268677, 1.0254191264612393, 1697835138498041264, 
0.6643218994140625, 0.4085173010826111, 1.0266753703925415, 1697835138598024667, 
0.6693750619888306, 0.41680899262428284, 1.0285372433511346, 1697835138688038271, 
0.6760317087173462, 0.427644819021225, 1.0285372433511346, 1697835138808033994, 
0.6809098124504089, 0.4355336129665375, 1.0278267374205223, 1697835138898033279, 
0.685943067073822, 0.4440571069717407, 1.0295957724385185, 1697835138998050080, 
0.6906484961509705, 0.4515455663204193, 1.0307642128672037, 1697835139088065232, 
0.6967564821243286, 0.4616128206253052, 1.0335268460494278, 1697835139208034150, 
0.7012500762939453, 0.4689854383468628, 1.0357390056775913, 1697835139300060050, 
0.7061915397644043, 0.4771885275840759, 1.0398449630604627, 1697835139398039174, 
0.7100817561149597, 0.4845221936702728, 1.0422089945277235, 1697835139488085936, 
0.7158986330032349, 0.4942013621330261, 1.0453238764034847, 1697835139608244638, 
0.7201108932495117, 0.5011914968490601, 1.048126704818546, 1697835139699197149, 
0.7246655225753784, 0.5088031888008118, 1.0507757298025073, 1697835139797622869, 
0.7287011742591858, 0.5157944560050964, 1.0502422813892922, 1697835139888084894, 
0.7336616516113281, 0.5249143242835999, 1.0515174518728796, 1697835140009464450, 
0.73732990026474, 0.5318182706832886, 1.051127664823349, 1697835140098673675, 
0.7416825890541077, 0.5390844941139221, 1.051274501430199, 1697835140198436032, 
0.7455714344978333, 0.5454497337341309, 1.0511365226559028, 1697835140289075865, 
0.7504756450653076, 0.5539478063583374, 1.0510535977095643, 1697835140408337158, 
0.7536625862121582, 0.5604742765426636, 1.050892746341102, 1697835140498804533, 
0.7577458024024963, 0.5673084855079651, 1.0534304275502258, 1697835140598006532, 
0.7613985538482666, 0.5731856226921082, 1.054355269967163, 1697835140689110984, 
0.7657887935638428, 0.5812793374061584, 1.0545066709335522, 1697835140807665007, 
0.7674315571784973, 0.5839099884033203, 1.054533620579957, 1697835140849536839, 
0.7726923227310181, 0.5935620069503784, 1.0559054014757434, 1697835140998082436, 
0.7757349014282227, 0.5994084477424622, 1.0564253080395118, 1697835141090339057, 
0.779377281665802, 0.6056237816810608, 1.0570472120037078, 1697835141191229615, 
0.7832514643669128, 0.612300455570221, 1.056298790123673, 1697835141300276029, 
0.7863678336143494, 0.6181939244270325, 1.0557439501191712, 1697835141397061733, 
0.7897201180458069, 0.6237842440605164, 1.0560730713669333, 1697835141488021335, 
0.7929826378822327, 0.6298516392707825, 1.0556983417746089, 1697835141589152014, 
0.796485960483551, 0.6361235976219177, 1.0564688133861708, 1697835141698263166, 
0.7997952699661255, 0.6415876150131226, 1.0555995946660022, 1697835141797156433, 
0.8025946617126465, 0.646824300289154, 1.0547357434404916, 1697835141889127023, 
0.8058202862739563, 0.6522306799888611, 1.0546647124466497, 1697835141989282481, 
0.8090724945068359, 0.658141016960144, 1.055866780134129, 1697835142098091764, 
0.8119476437568665, 0.6632192730903625, 1.0570525757708347, 1697835142196098987, 
0.8147687911987305, 0.6680344343185425, 1.057311924020476, 1697835142289174697, 
0.8176991939544678, 0.673323929309845, 1.0571511418798878, 1697835142388055933, 
0.820846438407898, 0.6786984205245972, 1.0576968324009328, 1697835142498077590, 
0.8237046599388123, 0.6837952136993408, 1.058743926091234, 1697835142596066608, 
0.8263527750968933, 0.6882429718971252, 1.0592316034225575, 1697835142689174566, 
0.8290891051292419, 0.6932905316352844, 1.0607122801569278, 1697835142788329595, 
0.8321211338043213, 0.698415219783783, 1.0611601663955315, 1697835142899096328, 
0.8346037864685059, 0.7030650973320007, 1.0622232624214762, 1697835143000183611, 
0.8370440602302551, 0.7072129845619202, 1.061695311226028, 1697835143089094422, 
0.8397071361541748, 0.7120101451873779, 1.0609917904581359, 1697835143188065205, 
0.8423976898193359, 0.7166478633880615, 1.0620477310820753, 1697835143298152932, 
0.8448978662490845, 0.721301794052124, 1.0622062086045532, 1697835143399076230, 
0.8471018671989441, 0.7251725792884827, 1.0619068701016006, 1697835143489148427, 
0.8496227264404297, 0.7294859886169434, 1.0616814191861905, 1697835143588333279, 
0.852057695388794, 0.7341069579124451, 1.061598523050529, 1697835143698089016, 
0.8544950485229492, 0.7382239103317261, 1.0609689568920766, 1697835143799088930, 
0.8563771843910217, 0.7417703866958618, 1.0598174521470616, 1697835143889152998, 
0.8586446642875671, 0.745682418346405, 1.059374732419847, 1697835143987669604, 
0.8612579107284546, 0.7501132488250732, 1.059374732419847, 1697835144098112370, 
0.8632807731628418, 0.753976047039032, 1.059374732419847, 1697835144199083699, 
0.8652693629264832, 0.7573621869087219, 1.059374732419847, 1697835144289042453, 
0.8673549890518188, 0.7611498832702637, 1.0598810747902723, 1697835144388288415, 
0.8696871995925903, 0.7651934027671814, 1.0598810747902723, 1697835144498115780, 
